candidate,direction,status,n,win_rate,strict_win_rate,sortino,total_expectancy,timeout_fraction,dominant_coin,max_coin_share,dominant_year,max_year_share,n_shock_excluded,pattern_significant,pattern_p_value,pattern_oos_sd,pattern_excess_return,pattern_mfe_mae_ratio,fdr_alpha,fdr_significant,fdr_demoted,prior_weight
hawkish_jobless_claims_surprise_then_volume_dryup_reversal,long,accepted,310,0.423728813559322,0.3225806451612903,1.2771087082116435,1.1261761773796468,0.23870967741935484,XRPUSDT,0.3107819648533111,2021.0,0.5456796148396106,6,True,0.0,0.10297330892268126,0.026719608993801585,1.4855421316588937,0.05,True,,1.0
hot_cpi_surprise_then_neutral_rsi,short,watch,399,0.27925531914893614,0.2631578947368421,-0.8582298608681588,-0.572829102130398,0.05764411027568922,DOGEUSDT,0.290105012596909,2021.0,0.6818466687213055,3,True,0.033,0.10316384132725816,0.020548031059200732,1.2234440696035596,0.05,False,,1.0
dovish_rate_surprise_oversold_long,long,rejected,76,0.7352941176470589,0.6578947368421053,-1.2757547681168564,-0.4770658820018486,0.10526315789473684,BNBUSDT,0.5970272530417832,2024.0,0.5733365857263167,4,False,0.9995,0.10887061198024695,-0.044317111315051116,2.3947321073524956,0.05,False,,1.0
hawkish_jobless_claims_then_bollinger_breakout,long,rejected,319,0.3025210084033613,0.22570532915360503,12.478166417078889,10.06660624028066,0.25391849529780564,BNBUSDT,0.31441129961399994,2021.0,0.5450724779505904,36,False,0.7665,0.42870561038239285,-0.01655118269906887,2.6970283144526404,0.05,False,,1.0
hawkish_jobless_claims_then_volume_expansion,long,rejected,341,0.49282296650717705,0.3020527859237537,11.892198544279644,13.928058036964856,0.3870967741935484,ADAUSDT,0.25283913649094625,2021.0,0.2896967807150469,55,False,0.5695,0.3170791866811195,0.0035949139978051353,2.443282847063753,0.05,False,,1.0
cpi_miss_lower_band_continuation,short,watch,54,0.36,0.3333333333333333,0.1814740916769504,0.029447666526940856,0.07407407407407407,DOGEUSDT,0.6942686874731056,2024.0,0.7740957366756389,38,False,0.622,0.11701496793246259,-0.007698235619451706,1.1486803817569216,0.05,False,,1.0
weak_jobless_claims_then_oversold_bounce,long,rejected,118,0.5288461538461539,0.4661016949152542,0.26242231705782004,0.11519839113048666,0.11864406779661017,BTCUSDT,0.35667103197022265,2023.0,0.47270142474960575,17,False,0.6885,0.08069854385011535,-0.0036808697743182673,1.2194683608261478,0.05,False,,1.0
weak_jobless_claims_then_volume_spike_continuation,short,watch,259,0.4329004329004329,0.3861003861003861,-4.13438365793891,-4.566193183640486,0.10810810810810811,BNBUSDT,1.0,2026.0,0.46769234215680505,52,False,0.7065,0.3262512453952828,-0.010172393147707973,1.0165868507785745,0.05,False,,1.0
claims_shock_shrugged_off_momentum,long,rejected,214,0.41025641025641024,0.22429906542056074,14.339946729421424,9.177037053022646,0.4532710280373832,BNBUSDT,0.47037065014856344,2024.0,0.46352943809774044,5,True,0.0625,0.1088549241700518,0.033470629806683916,1.7107210682182756,0.05,False,True,1.0
hawkish_claims_then_oversold_rsi,long,rejected,88,0.32432432432432434,0.2727272727272727,16.39386363925869,2.1757164964151103,0.1590909090909091,ADAUSDT,0.3359398787472383,2026.0,0.3770110348225487,8,False,0.2555,0.10421903667146212,0.021300654537213713,3.847834783790367,0.05,False,,1.0
hawkish_claims_then_elevated_funding,short,watch,166,0.3793103448275862,0.3313253012048193,-2.965460094893961,-1.2744878624467029,0.12650602409638553,,,2025.0,1.0,4,False,0.831,0.129632817498167,-0.012602706103055684,0.6506995381773415,0.05,False,,1.0
hot_cpi_surprise_then_negative_funding_squeeze,long,watch,98,0.48314606741573035,0.4387755102040816,-2.8522118596981976,-0.660548886590918,0.09183673469387756,LTCUSDT,0.7128029744357444,2026.0,0.8976984029223101,7,False,0.793,0.0435553103643417,-0.0025288390820638195,0.9228909846972918,0.05,False,,1.0
hot_cpi_surprise_then_neutral_rsi_continuation,long,watch,199,0.4294117647058823,0.36683417085427134,0.0609368863627446,0.02839416294533359,0.1457286432160804,XRPUSDT,1.0,2026.0,0.7322930330528139,0,False,0.8645,0.05150275444178863,-0.007331801940280328,1.236737068026761,0.05,False,,1.0
