strategy,timeframe,entry_preset_idx,exit_preset,period,total_trades,win_rate,sortino_ratio,net_profit_pct,backtest_days
VolatilityBreakoutKCSqueeze,4h,2,wide,IS,39,0.3846,0.344,18.384,725
VolatilityBreakoutKCSqueeze,4h,2,wide,OOS,14,0.6429,0.063,1.516,360
VolatilityBreakoutKCSqueeze,4h,2,sl_only_trailing,IS,42,0.5238,-0.281,-11.151,725
VolatilityBreakoutKCSqueeze,4h,2,sl_only_trailing,OOS,15,0.7333,0.13,3.055,360
VolumeDrivenVWAPCMF,15m,0,null_null,IS,655,0.2061,-9.228,-43.482,732
VolumeDrivenVWAPCMF,15m,0,null_null,OOS,374,0.2005,-11.847,-34.429,360
VolumeDrivenVWAPCMF,15m,0,tight,IS,655,0.2122,-9.315,-43.89,732
VolumeDrivenVWAPCMF,15m,0,tight,OOS,374,0.1979,-13.044,-36.607,360
VolumeDrivenVWAPCMF,15m,0,wide,IS,655,0.2061,-9.583,-45.261,732
VolumeDrivenVWAPCMF,15m,0,wide,OOS,374,0.1979,-11.165,-34.639,360
VolumeDrivenVWAPCMF,15m,0,sl_only_trailing,IS,655,0.226,-11.601,-52.096,732
VolumeDrivenVWAPCMF,15m,0,sl_only_trailing,OOS,374,0.2086,-13.475,-40.41,360
VolumeDrivenVWAPCMF,15m,1,null_null,IS,247,0.1903,-2.592,-22.846,732
VolumeDrivenVWAPCMF,15m,1,null_null,OOS,144,0.1806,-5.109,-17.908,360
VolumeDrivenVWAPCMF,15m,1,tight,IS,247,0.1903,-4.035,-28.174,732
VolumeDrivenVWAPCMF,15m,1,tight,OOS,144,0.1875,-5.867,-19.973,360
VolumeDrivenVWAPCMF,15m,1,wide,IS,247,0.1903,-3.001,-25.068,732
VolumeDrivenVWAPCMF,15m,1,wide,OOS,144,0.1806,-5.355,-19.543,360
VolumeDrivenVWAPCMF,15m,1,sl_only_trailing,IS,247,0.2186,-4.306,-33.54,732
VolumeDrivenVWAPCMF,15m,1,sl_only_trailing,OOS,144,0.2014,-6.257,-22.143,360
VolumeDrivenVWAPCMF,15m,2,null_null,IS,279,0.233,-3.646,-21.096,732
VolumeDrivenVWAPCMF,15m,2,null_null,OOS,148,0.223,-4.06,-14.105,360
VolumeDrivenVWAPCMF,15m,2,tight,IS,279,0.233,-3.071,-18.957,732
VolumeDrivenVWAPCMF,15m,2,tight,OOS,148,0.2162,-4.431,-15.166,360
VolumeDrivenVWAPCMF,15m,2,wide,IS,279,0.233,-3.358,-20.605,732
VolumeDrivenVWAPCMF,15m,2,wide,OOS,148,0.2162,-3.836,-15.338,360
VolumeDrivenVWAPCMF,15m,2,sl_only_trailing,IS,279,0.2581,-4.251,-25.551,732
VolumeDrivenVWAPCMF,15m,2,sl_only_trailing,OOS,148,0.2432,-3.969,-15.833,360
VolumeDrivenVWAPCMF,1h,0,null_null,IS,204,0.2451,-0.545,-6.873,726
VolumeDrivenVWAPCMF,1h,0,null_null,OOS,114,0.2368,-2.963,-20.008,360
VolumeDrivenVWAPCMF,1h,0,tight,IS,204,0.2549,-1.955,-20.33,726
VolumeDrivenVWAPCMF,1h,0,tight,OOS,114,0.2368,-3.47,-19.649,360
VolumeDrivenVWAPCMF,1h,0,wide,IS,204,0.2451,-1.36,-16.816,726
VolumeDrivenVWAPCMF,1h,0,wide,OOS,114,0.2368,-2.827,-18.725,360
VolumeDrivenVWAPCMF,1h,0,sl_only_trailing,IS,204,0.3039,-2.567,-29.306,726
VolumeDrivenVWAPCMF,1h,0,sl_only_trailing,OOS,114,0.2719,-3.325,-22.339,360
VolumeDrivenVWAPCMF,1h,1,null_null,IS,82,0.2195,-0.744,-13.295,726
VolumeDrivenVWAPCMF,1h,1,null_null,OOS,49,0.2041,-1.718,-12.176,360
VolumeDrivenVWAPCMF,1h,1,tight,IS,82,0.2439,-0.893,-11.341,726
VolumeDrivenVWAPCMF,1h,1,tight,OOS,49,0.1837,-2.904,-16.398,360
VolumeDrivenVWAPCMF,1h,1,wide,IS,82,0.2195,-0.957,-15.174,726
VolumeDrivenVWAPCMF,1h,1,wide,OOS,49,0.2041,-1.711,-11.455,360
VolumeDrivenVWAPCMF,1h,1,sl_only_trailing,IS,82,0.2927,-1.137,-17.156,726
VolumeDrivenVWAPCMF,1h,1,sl_only_trailing,OOS,49,0.2449,-2.58,-16.898,360
VolumeDrivenVWAPCMF,1h,2,null_null,IS,74,0.2703,-0.413,-6.813,726
VolumeDrivenVWAPCMF,1h,2,null_null,OOS,39,0.3333,-0.065,-0.453,360
VolumeDrivenVWAPCMF,1h,2,tight,IS,74,0.3108,-0.259,-3.455,726
VolumeDrivenVWAPCMF,1h,2,tight,OOS,39,0.359,0.205,1.336,360
VolumeDrivenVWAPCMF,1h,2,wide,IS,74,0.2703,-0.432,-6.863,726
VolumeDrivenVWAPCMF,1h,2,wide,OOS,39,0.3333,0.282,2.0,360
VolumeDrivenVWAPCMF,1h,2,sl_only_trailing,IS,74,0.3378,-0.77,-10.053,726
VolumeDrivenVWAPCMF,1h,2,sl_only_trailing,OOS,39,0.3846,-0.588,-4.171,360
VolumeDrivenVWAPCMF,4h,0,null_null,IS,57,0.3333,0.443,17.508,701
VolumeDrivenVWAPCMF,4h,0,null_null,OOS,33,0.1818,-1.628,-19.043,360
VolumeDrivenVWAPCMF,4h,0,tight,IS,57,0.3333,0.229,5.709,701
VolumeDrivenVWAPCMF,4h,0,tight,OOS,33,0.1818,-1.699,-17.303,360
VolumeDrivenVWAPCMF,4h,0,wide,IS,57,0.3333,0.385,13.93,701
VolumeDrivenVWAPCMF,4h,0,wide,OOS,33,0.1818,-1.628,-19.043,360
VolumeDrivenVWAPCMF,4h,0,sl_only_trailing,IS,57,0.386,-0.043,-1.259,701
VolumeDrivenVWAPCMF,4h,0,sl_only_trailing,OOS,33,0.2121,-1.503,-16.926,360
VolumeDrivenVWAPCMF,4h,1,null_null,IS,16,0.3125,0.22,5.235,701
VolumeDrivenVWAPCMF,4h,1,null_null,OOS,8,0.125,-0.357,-5.811,360
VolumeDrivenVWAPCMF,4h,1,tight,IS,16,0.3125,-0.028,-0.753,701
VolumeDrivenVWAPCMF,4h,1,tight,OOS,8,0.125,-0.459,-4.836,360
VolumeDrivenVWAPCMF,4h,1,wide,IS,16,0.3125,0.297,7.151,701
VolumeDrivenVWAPCMF,4h,1,wide,OOS,8,0.125,-0.357,-5.811,360
